replicate,sampled_raw_file_count,sampled_window_count,cost_minus_argmax_rmse
95,80,1356,2.818414467446061
96,80,1363,-0.5232352678093335
97,80,1352,0.077951628938699
98,80,1360,1.2306260526498995
99,80,1369,-0.2202952480142386
100,80,1363,-0.06164466541683211
101,80,1382,-1.0471245394565472
102,80,1352,0.8010041957661613
103,80,1354,0.807024391209687
104,80,1332,1.804776278422878
105,80,1373,-1.395734499390894
106,80,1359,1.8525529133386556
107,80,1370,-2.429585202870488
108,80,1354,-0.4616569898795291
109,80,1375,1.807427882051087
110,80,1366,-0.6371279434638879
111,80,1370,-1.3278549436146
112,80,1363,-1.563505443444356
113,80,1359,2.894031977837944
114,80,1348,2.677371922230474
115,80,1342,-0.21182368117908368
116,80,1362,4.015458409398899
117,80,1354,1.351897140039469
118,80,1361,0.9598128630635543
119,80,1336,0.18521176590159172
120,80,1375,-0.11483103847375986
121,80,1356,-1.0676975092441374
122,80,1380,0.8412102116945022
123,80,1360,-1.2026218691612058
124,80,1372,0.4426750578910088
125,80,1374,3.595007064049451
126,80,1367,0.877692798286045
127,80,1362,-0.7676513191783165
128,80,1361,1.8597755528651803
129,80,1358,3.5846157598605437
130,80,1337,-1.1027168883793834
131,80,1339,-1.15897031913304
132,80,1340,-0.7553829244162102
133,80,1368,-0.13346336026051375
134,80,1359,5.361700841813903
135,80,1368,0.5458523964994413
136,80,1374,-1.5677556182515744
137,80,1356,-1.5576922066384569
138,80,1365,-1.572946124386828
139,80,1359,-2.3645873582168093
140,80,1370,0.9638706314285592
141,80,1375,-0.37181384855767163
142,80,1372,-0.25594346748652796
143,80,1366,2.9570312593507992
144,80,1368,2.869624968370079
145,80,1345,1.1126643042499609
146,80,1341,2.6346551436793995
147,80,1348,2.9433860224562665
148,80,1356,-1.6112376073264727
149,80,1355,-2.3249549040086386
150,80,1369,0.849416726148494
151,80,1360,4.356737988398777
152,80,1366,0.48558271035041045
153,80,1349,-0.3305177219529227
154,80,1357,-0.792806120550992
155,80,1364,-0.7557452008433998
156,80,1359,0.7236690049622219
157,80,1369,1.3251492123857567
158,80,1376,-2.360227266250856
159,80,1372,0.04033543597465439
160,80,1355,-1.873626602339268
161,80,1362,-1.7275132205096924
162,80,1376,-1.3819195786473024
163,80,1357,-0.7408246041007907
164,80,1361,2.5832047744356927
165,80,1363,-0.5044420136615848
166,80,1367,-0.8042984665997537
167,80,1358,1.4668604245232544
168,80,1351,-0.08732831810915087
169,80,1363,0.7354270001024048
170,80,1361,-2.495099967004375
171,80,1350,-0.579880833819324
172,80,1360,-1.7175946020856117
173,80,1372,1.417048425580159
174,80,1357,-1.9556847419987413
175,80,1354,2.535650362860064
176,80,1374,-1.2023554927555011
177,80,1348,2.0330411289104084
178,80,1374,0.2997333107708968
